Story,Protocol,Aspect,Agreement,Scope,Answer
Seminar,One,Ipfv,Default,Isomorphic,1
Seminar,One,Ipfv,Default,Isomorphic,1
Seminar,One,Ipfv,Default,Isomorphic,1
Seminar,One,Ipfv,Default,Isomorphic,1
Seminar,One,Ipfv,Default,Isomorphic,1
Seminar,One,Ipfv,Default,Isomorphic,1
Seminar,One,Ipfv,Default,Isomorphic,1
Seminar,One,Ipfv,Default,Isomorphic,1
Seminar,One,Ipfv,Default,Isomorphic,1
Seminar,One,Ipfv,Default,Isomorphic,1
Seminar,One,Ipfv,Default,Isomorphic,1
Seminar,One,Ipfv,Default,Isomorphic,1
Seminar,One,Ipfv,Default,Isomorphic,1
Seminar,One,Ipfv,Default,Isomorphic,1
Seminar,One,Ipfv,Default,Isomorphic,1
Seminar,One,Ipfv,Default,Isomorphic,1
Seminar,One,Ipfv,Default,Isomorphic,1
Seminar,One,Ipfv,Default,Isomorphic,1
Seminar,One,Ipfv,Default,Isomorphic,1
Seminar,One,Ipfv,Default,Isomorphic,1
Seminar,One,Ipfv,Default,Nonisomorphic,1
Seminar,One,Ipfv,Default,Nonisomorphic,1
Seminar,One,Ipfv,Default,Nonisomorphic,1
Seminar,One,Ipfv,Default,Nonisomorphic,0
Seminar,One,Ipfv,Default,Nonisomorphic,1
Seminar,One,Ipfv,Default,Nonisomorphic,1
Seminar,One,Ipfv,Default,Nonisomorphic,1
Seminar,One,Ipfv,Default,Nonisomorphic,1
Seminar,One,Ipfv,Default,Nonisomorphic,1
Seminar,One,Ipfv,Default,Nonisomorphic,0
Seminar,One,Ipfv,Default,Nonisomorphic,0
Seminar,One,Ipfv,Default,Nonisomorphic,1
Seminar,One,Ipfv,Default,Nonisomorphic,1
Seminar,One,Ipfv,Default,Nonisomorphic,1
Seminar,One,Ipfv,Default,Nonisomorphic,1
Seminar,One,Ipfv,Default,Nonisomorphic,1
Seminar,One,Ipfv,Default,Nonisomorphic,1
Seminar,One,Ipfv,Default,Nonisomorphic,1
Seminar,One,Ipfv,Default,Nonisomorphic,1
Seminar,One,Ipfv,Default,Nonisomorphic,1
Test,One,Pfv,Plural,Isomorphic,1
Test,One,Pfv,Plural,Isomorphic,1
Test,One,Pfv,Plural,Isomorphic,1
Test,One,Pfv,Plural,Isomorphic,1
Test,One,Pfv,Plural,Isomorphic,1
Test,One,Pfv,Plural,Isomorphic,0
Test,One,Pfv,Plural,Isomorphic,1
Test,One,Pfv,Plural,Isomorphic,1
Test,One,Pfv,Plural,Isomorphic,1
Test,One,Pfv,Plural,Isomorphic,1
Test,One,Pfv,Plural,Isomorphic,1
Test,One,Pfv,Plural,Isomorphic,1
Test,One,Pfv,Plural,Isomorphic,1
Test,One,Pfv,Plural,Isomorphic,0
Test,One,Pfv,Plural,Isomorphic,1
Test,One,Pfv,Plural,Isomorphic,1
Test,One,Pfv,Plural,Isomorphic,1
Test,One,Pfv,Plural,Isomorphic,1
Test,One,Pfv,Plural,Isomorphic,1
Test,One,Pfv,Plural,Isomorphic,1
Test,One,Pfv,Plural,Nonisomorphic,1
Test,One,Pfv,Plural,Nonisomorphic,1
Test,One,Pfv,Plural,Nonisomorphic,1
Test,One,Pfv,Plural,Nonisomorphic,1
Test,One,Pfv,Plural,Nonisomorphic,1
Test,One,Pfv,Plural,Nonisomorphic,1
Test,One,Pfv,Plural,Nonisomorphic,1
Test,One,Pfv,Plural,Nonisomorphic,1
Test,One,Pfv,Plural,Nonisomorphic,1
Test,One,Pfv,Plural,Nonisomorphic,0
Test,One,Pfv,Plural,Nonisomorphic,1
Test,One,Pfv,Plural,Nonisomorphic,1
Test,One,Pfv,Plural,Nonisomorphic,1
Test,One,Pfv,Plural,Nonisomorphic,1
Test,One,Pfv,Plural,Nonisomorphic,1
Test,One,Pfv,Plural,Nonisomorphic,1
Test,One,Pfv,Plural,Nonisomorphic,1
Test,One,Pfv,Plural,Nonisomorphic,1
Test,One,Pfv,Plural,Nonisomorphic,1
Test,One,Pfv,Plural,Nonisomorphic,1
Bar,One,Ipfv,Plural,Isomorphic,1
Bar,One,Ipfv,Plural,Isomorphic,1
Bar,One,Ipfv,Plural,Isomorphic,0
Bar,One,Ipfv,Plural,Isomorphic,1
Bar,One,Ipfv,Plural,Isomorphic,1
Bar,One,Ipfv,Plural,Isomorphic,0
Bar,One,Ipfv,Plural,Isomorphic,1
Bar,One,Ipfv,Plural,Isomorphic,1
Bar,One,Ipfv,Plural,Isomorphic,1
Bar,One,Ipfv,Plural,Isomorphic,1
Bar,One,Ipfv,Plural,Isomorphic,1
Bar,One,Ipfv,Plural,Isomorphic,1
Bar,One,Ipfv,Plural,Isomorphic,1
Bar,One,Ipfv,Plural,Isomorphic,1
Bar,One,Ipfv,Plural,Isomorphic,1
Bar,One,Ipfv,Plural,Isomorphic,1
Bar,One,Ipfv,Plural,Isomorphic,1
