Story,Protocol,Agreement,Evaluation
1,1,Default,1
1,1,Default,1
1,1,Default,2
1,1,Default,2
1,1,Default,3
1,1,Default,4
1,1,Default,4
1,1,Default,4
1,1,Default,5
1,1,Default,5
1,1,Default,6
1,1,Default,6
1,1,Default,6
1,1,Default,6
1,1,Default,6
1,1,Default,6
1,2,Plural,0
1,2,Plural,1
1,2,Plural,2
1,2,Plural,3
1,2,Plural,3
1,2,Plural,3
1,2,Plural,4
1,2,Plural,4
1,2,Plural,4
1,2,Plural,4
1,2,Plural,5
1,2,Plural,6
1,2,Plural,6
1,2,Plural,6
1,2,Plural,6
1,2,Plural,6
1,2,Plural,6
1,2,Plural,6
1,2,Plural,6
2,2,Default,0
2,2,Default,0
2,2,Default,1
2,2,Default,1
2,2,Default,2
2,2,Default,2
2,2,Default,3
2,2,Default,3
2,2,Default,3
2,2,Default,4
2,2,Default,5
2,2,Default,5
2,2,Default,5
2,2,Default,6
2,2,Default,6
2,2,Default,6
2,2,Default,6
2,2,Default,6
2,2,Default,6
2,1,Plural,2
2,1,Plural,3
2,1,Plural,4
2,1,Plural,5
2,1,Plural,5
2,1,Plural,5
2,1,Plural,6
2,1,Plural,6
2,1,Plural,6
2,1,Plural,6
2,1,Plural,6
2,1,Plural,6
2,1,Plural,6
2,1,Plural,6
2,1,Plural,6
2,1,Plural,6
3,1,Default,1
3,1,Default,1
3,1,Default,2
3,1,Default,5
3,1,Default,5
3,1,Default,5
3,1,Default,6
3,1,Default,6
3,1,Default,6
3,1,Default,6
3,1,Default,6
3,1,Default,6
3,1,Default,6
3,1,Default,6
3,1,Default,6
3,1,Default,6
3,2,Plural,0
3,2,Plural,1
3,2,Plural,2
3,2,Plural,3
3,2,Plural,4
3,2,Plural,4
3,2,Plural,5
3,2,Plural,5
3,2,Plural,5
3,2,Plural,6
3,2,Plural,6
3,2,Plural,6
3,2,Plural,6
3,2,Plural,6
3,2,Plural,6
3,2,Plural,6
3,2,Plural,6
3,2,Plural,6
3,2,Plural,6
4,2,Default,3
4,2,Default,4
4,2,Default,4
4,2,Default,4
4,2,Default,5
4,2,Default,5
4,2,Default,5
4,2,Default,6
4,2,Default,6
4,2,Default,6
4,2,Default,6
4,2,Default,6
4,2,Default,6
4,2,Default,6
4,2,Default,6
4,2,Default,6
4,2,Default,6
4,2,Default,6
4,2,Default,6
4,1,Plural,3
4,1,Plural,6
4,1,Plural,6
4,1,Plural,6
4,1,Plural,6
4,1,Plural,6
4,1,Plural,6
4,1,Plural,6
4,1,Plural,6
4,1,Plural,6
4,1,Plural,6
4,1,Plural,6
4,1,Plural,6
4,1,Plural,6
4,1,Plural,6
4,1,Plural,6
